id,_original_order,center_x_5186,center_y_5186
321342,0,121276.00000000004,80182.99999999983
323784,2,122276.0,81183.00000000006
336022,8,127276.00000000028,72182.99999999971
341366,31,129776.00000000048,455183.0
342588,48,130276.00000000026,455183.0
348693,157,132776.0000000003,457682.99999999953
349915,178,133275.99999999965,457682.99999999953
351136,198,133775.99999999977,458183.0
352366,219,134276.00000000035,454182.99999999977
352368,221,134276.0,453183.0000000006
353579,236,134776.00000000015,458682.99999999977
353581,237,134776.00000000026,457682.9999999999
353582,238,134775.99999999977,457182.99999999977
354813,269,135275.9999999997,452682.99999999977
357258,325,136276.00000000006,452182.99999999965
362162,451,138276.0000000001,444183.0000000005
362165,452,138276.00000000012,442683.0000000002
363390,492,138775.9999999997,441183.0000000005
364605,525,139276.00000000047,444682.9999999996
364606,526,139276.0000000008,444183.0000000005
364607,527,139276.00000000067,443683.00000000076
364608,528,139276.00000000015,443182.99999999994
364614,532,139275.99999999977,440182.9999999996
365838,568,139775.9999999994,439183.0000000004
365839,569,139775.99999999904,438683.00000000064
365840,570,139775.99999999945,438183.0000000005
365841,571,139775.99999999988,437683.00000000006
365844,572,139776.00000000006,436183.0000000004
367048,594,140275.99999999983,445182.9999999997
368267,627,140776.00000000006,446682.9999999997
368269,628,140776.0000000003,445683.0000000005
369489,664,141275.99999999997,446683.0000000004
369491,665,141276.0,445683.0000000005
370185,690,141276.00000000017,98683.0
370658,691,141775.99999999936,473182.9999999997
370712,700,141776.00000000023,446183.0000000003
372628,759,142275.99999999962,99183.00000000012
374378,817,143276.00000000003,446183.0000000003
374386,823,143275.99999999988,442183.00000000006
374388,824,143276.00000000076,441183.0000000002
375598,871,143776.00000000003,447182.9999999998
375603,872,143775.99999999977,444682.9999999996
375604,873,143775.99999999997,444183.0000000002
375605,874,143776.00000000017,443683.00000000006
376294,893,143776.0000000006,99182.99999999977
376821,919,144275.9999999997,446683.0000000004
376824,920,144275.99999999994,445182.99999999936
376826,922,144275.9999999998,444183.0000000002
376827,923,144276.00000000006,443682.9999999997
376828,924,144276.00000000017,443182.99999999994
376839,925,144276.0,437683.00000000006
377516,936,144276.00000000035,99183.00000000012
378046,965,144776.00000000006,445182.9999999997
378065,967,144776.0000000003,435683.00000000064
379285,1000,145276.0000000002,436683.0000000002
381733,1042,146276.00000000006,434682.9999999997
381737,1045,146276.0,432682.99999999953
382957,1065,146776.0,433683.0000000005
382959,1066,146776.0000000003,432682.99999999953
384330,1084,147275.99999999997,358182.9999999997
386643,1114,148276.0000000002,423683.0000000006
387289,1117,148276.00000000012,100682.99999999977
387864,1126,148776.00000000012,424183.00000000035
388511,1127,148775.99999999983,100682.99999999977
407425,1188,156776.00000000012,419683.0000000003
408648,1200,157275.99999999948,419183.0000000002
411075,1226,158276.00000000044,427682.9999999994
423366,1402,163275.99999999968,392183.00000000006
423406,1404,163275.9999999996,372182.99999999953
424628,1432,163775.99999999956,372182.99999999953
427073,1493,164776.00000000012,371683.0000000001
427075,1494,164775.99999999983,370683.00000000023
427077,1495,164776.00000000052,369683.0
451500,2211,174775.99999999994,378182.9999999996
453326,2266,175276.0000000003,76182.99999999994
456991,2351,176775.99999999968,76683.00000000041
458831,2391,177776.00000000035,378683.00000000006
459434,2411,177776.00000000026,77182.99999999983
463096,2505,179275.99999999988,79182.99999999994
466763,2578,180776.00000000017,78683.00000000017
467985,2600,181275.99999999983,78683.00000000017
503381,3377,195776.00000000012,99683.00000000023
602067,8756,236276.00000000012,247683.00000000006
628939,10451,247276.0,253682.99999999974
628941,10452,247276.0000000003,252683.00000000017
638753,10982,251276.00000000017,234683.00000000012
639963,11056,251776.00000000017,240683.00000000017
641198,11137,252275.9999999997,234183.00000000035
642421,11210,252776.00000000023,233683.00000000058
643629,11269,253275.99999999919,240682.9999999998
643633,11270,253275.9999999999,238683.0
644851,11345,253775.99999999962,240682.9999999998
644854,11346,253775.99999999965,239182.99999999977
650973,11758,256275.99999999988,234683.00000000047
652200,11860,256775.99999999988,232183.00000000023
653386,11955,257276.00000000035,250183.0000000003
657079,12284,258775.99999999968,236682.99999999988
657082,12285,258775.99999999985,235182.99999999988
661960,12664,260775.99999999924,240183.00000000003
663144,12749,261276.0000000001,259182.99999999965
670483,13337,264275.99999999977,255683.00000000058
672933,13540,265276.00000000047,252683.00000000017
675371,13742,266276.00000000035,255683.00000000058
677856,13960,267276.00000000023,235183.00000000023
679023,14044,267776.0,262683.00000000047
680307,14158,268276.0000000001,231682.99999999977
680308,14159,268276.00000000076,231183.0
681506,14257,268776.0000000007,243183.0000000004
681529,14258,268775.9999999999,231682.99999999977
682748,14364,269276.0000000006,233182.99999999977
683967,14453,269776.00000000006,234682.99999999977
683968,14454,269775.99999999994,234183.0
683971,14457,269776.0000000005,232683.00000000035
685164,14550,270275.99999999965,247183.0000000003
688861,14794,271776.0,231683.00000000012
688881,14802,271776.00000000023,221682.99999999983
691308,14992,272775.9999999999,230182.99999999977
691316,14996,272776.00000000006,226183.00000000058
692530,15084,273275.9999999995,230183.00000000047
692534,15086,273276.0000000001,228183.0
692536,15087,273276.0,227183.00000000081
692537,15088,273275.99999999965,226683.00000000105
696160,15344,274776.0000000006,248182.99999999948
698587,15529,275776.0000000001,256683.00000000012
701018,15705,276775.9999999997,263182.99999999953
701019,15706,276775.99999999953,262682.99999999977
701021,15707,276775.9999999998,261683.00000000023
702243,15789,277276.0,261683.00000000023
702253,15790,277276.0000000003,256683.00000000012
702279,15798,277276.0000000003,243683.00000000052
703472,15871,277776.0,258183.00000000012
703473,15872,277776.00000000035,257683.0
703475,15873,277776.00000000006,256682.99999999977
703509,15882,277776.0000000008,239682.99999999953
704697,15963,278276.0000000002,256682.99999999977
707132,16130,279276.0000000007,261182.99999999977
708354,16219,279776.0000000006,261183.00000000012
709575,16300,280276.00000000035,261683.00000000023
710797,16370,280775.9999999999,261682.99999999988
715726,16626,282776.00000000035,241183.0000000003
716900,16663,283275.99999999994,265182.99999999965
716908,16664,283276.0000000004,261182.99999999977
716921,16672,283276.0000000001,254683.00000000035
718118,16708,283776.0000000001,267182.99999999977
718122,16711,283776.00000000064,265182.99999999965
718169,16722,283776.00000000035,241683.00000000038
719338,16747,284276.0000000001,268183.0
719344,16749,284276.00000000035,265182.9999999993
719352,16750,284276.0,261182.99999999942
719390,16759,284275.9999999993,242183.00000000017
720578,16787,284776.0000000001,259182.99999999965
721783,16825,285276.00000000035,267683.0000000003
721788,16826,285275.9999999993,265183.00000000035
727899,16961,287776.0000000007,264683.00000000023
727900,16962,287776.00000000023,264183.0000000001
727901,16963,287776.0000000001,263682.99999999965
727902,16964,287776.0000000001,263182.99999999953
729124,16987,288276.0000000001,263182.9999999999
730346,17017,288776.00000000047,263183.00000000023
734006,17102,290275.9999999999,266182.9999999999
736440,17169,291275.9999999999,271182.99999999936
736449,17170,291276.0000000004,266683.0
736450,17171,291275.9999999999,266183.0000000006
738886,17246,292276.00000000105,270183.0000000005
738895,17247,292276.0000000008,265682.99999999977
740138,17278,292776.000000001,255183.00000000047
743766,17344,294275.9999999997,274183.00000000006
743768,17345,294276.0,273183.0000000009
743788,17346,294276.00000000105,263182.9999999999
744992,17376,294776.0000000003,272182.9999999996
744993,17377,294775.99999999965,271682.9999999998
746218,17411,295276.00000000047,270183.0000000005
747428,17435,295776.00000000076,276183.0000000005
747469,17439,295776.0,255682.99999999988
747482,17440,295776.0000000008,249183.00000000006
748650,17470,296276.00000000023,276183.0000000005
751139,17590,297275.9999999994,253683.0000000008
752367,17657,297776.00000000047,250682.99999999936
765799,18461,303276.0000000001,255683.00000000093
768242,18632,304275.99999999977,256183.00000000035
769462,18730,304776.00000000006,257182.99999999988
774351,19184,306775.9999999994,256682.99999999977
775572,19306,307276.00000000023,257183.00000000058
784118,20228,310775.99999999953,261183.00000000012
790228,20924,313276.00000000035,261183.00000000047
792672,21174,314276.0000000008,261183.00000000012
793897,21284,314775.9999999996,259682.99999999977
795117,21405,315276.0000000007,260683.0
800010,21796,317276.0,258183.00000000012
800011,21797,317276.0000000001,257682.99999999965
801233,21904,317775.99999999977,257682.99999999965
803671,22127,318775.99999999977,260682.9999999993
804893,22230,319276.0000000001,260683.0
807349,22457,320276.0000000014,254683.00000000035
808571,22557,320776.00000000047,254683.00000000035
811025,22749,321776.00000000023,249683.00000000017
811026,22750,321775.9999999999,249183.0000000004
811028,22752,321775.9999999999,248182.99999999948
813449,22912,322775.9999999997,259683.00000000047
814694,23019,323276.0000000007,248183.00000000052
815916,23134,323776.00000000035,248182.99999999983
815918,23136,323776.0000000018,247183.0000000003
817139,23254,324276.0000000016,247683.0000000004
817148,23256,324275.99999999953,243183.0000000004
818357,23367,324776.00000000047,249682.99999999983
818361,23368,324776.0000000014,247683.0000000004
819533,23462,325276.0000000004,272683.0000000004
819536,23464,325276.00000000023,271183.00000000006
819568,23478,325276.000000001,255182.99999999974
819571,23481,325276.00000000035,253682.9999999997
819575,23482,325276.00000000047,251683.0000000003
819579,23483,325276.0000000013,249682.99999999983
819583,23484,325276.00000000035,247683.00000000006
