sigungu_code,sido_name,sigungu_name,all_grid_count,target_grid_count,very_high_count,high_count,top_priority_count,priority_count,low_access_target_count,environment_caution_count,avg_risk_score,avg_infection_pressure,avg_access_score,estimated_minutes,required_person_days,required_field_workers,available_field_workers,field_worker_gap,required_drone_workers,available_drone_workers,drone_worker_gap,required_control_standby,available_control_workers,control_worker_gap
11220,서울특별시,서초구,3,0,0,0,0,0,0,0,41.09,49.78,60.34,0.0,0.0,0,0,0,0,0,0,0,0,0
21030,부산광역시,동구,5,0,0,0,0,0,0,0,44.0,49.49,63.13,0.0,0.0,0,0,0,0,1,1,0,0,0
21040,부산광역시,영도구,1,0,0,0,0,0,0,0,42.01,57.51,52.34,0.0,0.0,0,0,0,0,0,0,0,0,0
21050,부산광역시,부산진구,26,4,2,3,2,2,0,0,55.5,59.28,67.83,210.0,0.58,1,0,-1,0,0,0,1,0,-1
21060,부산광역시,동래구,10,0,0,1,0,0,0,0,39.89,49.39,69.86,0.0,0.0,0,1,1,0,0,0,0,1,1
21070,부산광역시,남구,2,0,0,0,0,0,0,0,39.79,54.6,64.24,0.0,0.0,0,0,0,0,0,0,0,0,0
21080,부산광역시,북구,51,7,6,8,1,6,1,2,57.51,55.62,55.63,510.0,1.42,1,0,-1,1,1,0,1,0,-1
21090,부산광역시,해운대구,117,46,24,39,9,37,6,16,65.28,51.06,55.58,3145.0,8.74,2,0,-2,1,1,0,1,0,-1
21100,부산광역시,사하구,3,1,1,0,0,1,0,0,53.14,57.07,67.79,45.0,0.12,1,0,-1,0,0,0,1,1,0
21110,부산광역시,금정구,123,44,34,31,15,29,6,16,67.84,57.92,56.4,3105.0,8.62,2,1,-1,1,0,-1,2,0,-2
21120,부산광역시,강서구,90,23,21,11,15,8,1,3,62.16,59.12,54.72,1695.0,4.71,1,1,0,1,0,-1,1,0,-1
21130,부산광역시,연제구,5,0,0,2,0,0,0,0,67.79,57.44,65.79,0.0,0.0,0,0,0,0,1,1,0,0,0
21140,부산광역시,수영구,4,0,0,0,0,0,0,0,40.13,57.94,56.82,0.0,0.0,0,1,1,0,1,1,0,0,0
21150,부산광역시,사상구,17,8,4,4,4,4,0,3,68.38,66.51,67.23,545.0,1.51,1,0,-1,0,0,0,1,1,0
21510,부산광역시,기장군,279,50,41,67,13,37,7,25,61.85,62.08,55.56,3830.0,10.64,3,0,-3,1,0,-1,2,0,-2
22020,대구광역시,동구,151,56,47,21,28,28,8,29,64.26,54.05,53.49,4395.0,12.21,3,1,-2,1,0,-1,2,1,-1
22030,대구광역시,서구,7,2,3,0,0,2,0,0,66.79,56.46,76.46,90.0,0.25,1,0,-1,0,0,0,1,0,-1
22040,대구광역시,남구,14,1,0,2,0,1,0,0,44.61,51.01,69.24,65.0,0.18,1,0,-1,0,0,0,0,0,0
22050,대구광역시,북구,121,55,45,25,26,29,14,19,71.41,57.17,57.92,4210.0,11.69,3,1,-2,1,0,-1,2,0,-2
22060,대구광역시,수성구,28,0,0,0,0,0,0,0,47.41,50.98,65.78,0.0,0.0,0,0,0,0,0,0,0,0,0
22070,대구광역시,달서구,63,15,15,8,8,7,1,6,62.43,52.45,64.71,1015.0,2.82,1,0,-1,1,0,-1,1,1,0
22510,대구광역시,달성군,519,318,296,88,157,161,29,141,78.89,60.66,56.86,23730.0,65.92,14,0,-14,2,0,-2,10,1,-9
22520,대구광역시,군위군,674,195,127,185,37,158,23,89,63.65,57.42,52.03,14735.0,40.93,9,0,-9,2,0,-2,5,1,-4
24020,광주광역시,서구,21,3,2,4,1,2,0,0,53.76,54.66,64.95,210.0,0.58,1,0,-1,0,0,0,1,0,-1
24030,광주광역시,남구,15,1,1,2,1,0,0,0,53.58,53.5,62.12,80.0,0.22,1,0,-1,0,1,1,1,0,-1
24050,광주광역시,광산구,150,38,26,43,13,25,4,15,63.94,59.1,58.73,2670.0,7.42,2,0,-2,1,1,0,1,1,0
25040,대전광역시,유성구,33,1,1,4,0,1,0,1,52.78,53.29,58.39,80.0,0.22,1,1,0,0,1,1,1,0,-1
26010,울산광역시,중구,4,4,4,0,4,0,0,2,98.57,90.89,61.52,330.0,0.92,1,0,-1,0,1,1,1,1,0
26020,울산광역시,남구,4,0,0,3,0,0,0,0,68.29,66.59,64.18,0.0,0.0,0,0,0,0,0,0,0,0,0
26030,울산광역시,동구,2,0,0,0,0,0,0,0,47.14,73.54,60.77,0.0,0.0,0,0,0,0,0,0,0,0,0
26040,울산광역시,북구,9,1,0,3,1,0,0,0,57.53,78.46,43.65,80.0,0.22,1,0,-1,0,0,0,0,0,0
26510,울산광역시,울주군,286,59,44,44,18,41,19,20,58.2,60.86,49.6,4935.0,13.71,3,0,-3,1,0,-1,2,0,-2
29010,세종특별자치시,세종시,42,0,0,4,0,0,0,0,47.9,54.08,59.07,0.0,0.0,0,1,1,0,0,0,0,1,1
31021,경기도,성남시 수정구,31,0,0,4,0,0,0,0,50.43,55.04,59.74,0.0,0.0,0,1,1,0,1,1,0,0,0
31022,경기도,성남시 중원구,25,0,0,0,0,0,0,0,48.56,56.89,63.35,0.0,0.0,0,1,1,0,0,0,0,0,0
31023,경기도,성남시 분당구,70,4,2,13,0,4,0,0,54.88,59.38,58.02,220.0,0.61,1,0,-1,0,0,0,1,1,0
31030,경기도,의정부시,26,0,0,0,0,0,0,0,44.21,50.32,59.91,0.0,0.0,0,0,0,0,0,0,0,0,0
31070,경기도,평택시,117,15,17,33,0,15,0,1,63.35,58.77,64.97,710.0,1.97,1,0,-1,0,0,0,1,1,0
31080,경기도,동두천시,193,10,15,55,0,10,1,6,60.95,50.8,52.53,750.0,2.08,1,0,-1,1,0,-1,1,0,-1
31130,경기도,남양주시,537,148,158,137,20,128,18,57,69.58,64.49,55.29,9995.0,27.76,6,1,-5,1,1,0,6,0,-6
31170,경기도,의왕시,3,0,0,1,0,0,0,0,63.76,55.27,57.42,0.0,0.0,0,0,0,0,0,0,0,0,0
31180,경기도,하남시,55,11,16,7,2,9,0,7,64.87,57.91,49.57,830.0,2.31,1,0,-1,0,0,0,1,1,0
31191,경기도,용인시 처인구,748,78,81,172,5,73,5,31,60.08,52.06,57.92,5240.0,14.56,3,0,-3,1,1,0,3,1,-2
31192,경기도,용인시 기흥구,45,2,1,13,0,2,0,0,57.6,52.15,67.29,90.0,0.25,1,0,-1,0,0,0,1,0,-1
31193,경기도,용인시 수지구,14,0,0,4,0,0,0,0,56.68,54.58,64.53,0.0,0.0,0,0,0,0,0,0,0,0,0
31200,경기도,파주시,178,16,25,55,2,14,0,9,63.58,53.38,46.73,1185.0,3.29,1,1,0,0,1,1,1,0,-1
31210,경기도,이천시,216,19,14,77,0,19,0,9,61.65,54.82,61.46,1150.0,3.19,1,1,0,0,0,0,1,1,0
31220,경기도,안성시,153,6,6,16,0,6,0,5,52.26,50.64,55.49,465.0,1.29,1,1,0,0,0,0,1,0,-1
31240,경기도,화성시,47,0,0,4,0,0,0,0,49.2,50.68,60.34,0.0,0.0,0,1,1,0,0,0,0,0,0
31250,경기도,광주시,209,22,23,40,3,19,6,8,58.64,71.2,52.48,1715.0,4.76,1,1,0,1,0,-1,1,0,-1
31260,경기도,양주시,423,43,49,93,6,37,0,25,60.83,52.47,56.82,3080.0,8.56,2,0,-2,0,0,0,2,1,-1
31270,경기도,포천시,908,254,246,232,67,187,20,103,67.92,58.82,53.32,18660.0,51.83,11,0,-11,1,1,0,9,0,-9
31280,경기도,여주시,517,64,71,153,8,56,2,23,63.16,54.11,53.86,4485.0,12.46,3,0,-3,1,1,0,3,1,-2
31550,경기도,연천군,318,24,64,118,0,24,2,17,68.54,52.25,44.73,1795.0,4.99,1,1,0,1,0,-1,3,0,-3
31570,경기도,가평군,1392,452,416,337,129,323,32,267,68.9,52.48,53.19,34500.0,95.83,20,3,-17,2,2,0,14,2,-12
31580,경기도,양평군,1240,239,219,215,45,194,19,102,60.69,59.7,55.01,16990.0,47.19,10,1,-9,1,0,-1,8,0,-8
32010,강원특별자치도,춘천시,1291,505,477,323,145,360,69,195,71.81,54.58,51.23,39015.0,108.38,22,2,-20,4,0,-4,16,3,-13
32020,강원특별자치도,원주시,769,135,151,221,22,113,13,64,66.47,53.52,52.91,10235.0,28.43,6,0,-6,1,1,0,6,2,-4
32040,강원특별자치도,동해시,19,1,4,1,0,1,0,1,54.67,48.85,62.67,80.0,0.22,1,1,0,0,0,0,1,1,0
32510,강원특별자치도,홍천군,844,114,80,159,27,87,2,69,56.12,53.59,53.25,8570.0,23.81,5,6,1,1,1,0,3,5,2
