worker_id,status,current_dispatch_id,current_task_id,current_lat,current_lon,location_accuracy_m,battery_level,network_status,last_seen_at,last_location_at,status_updated_at,dataset_version,import_batch_id
W00001,AVAILABLE,,,37.461903,127.048433,11.3,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00002,AVAILABLE,,,37.430655,127.074027,16.4,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00003,AVAILABLE,,,37.41497,127.092137,19.1,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00004,AVAILABLE,,,37.438983,127.091501,15.8,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00005,AVAILABLE,,,37.434537,127.076879,7.7,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00006,OFF_DUTY,,,37.444956,127.083912,16.0,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00007,AVAILABLE,,,35.137655,129.059644,9.3,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00008,AVAILABLE,,,35.122829,129.017364,19.0,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00009,AVAILABLE,,,35.139427,129.033818,9.4,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00010,AVAILABLE,,,35.150025,129.032734,11.8,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00011,AVAILABLE,,,35.141134,129.040612,15.2,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00012,OFF_DUTY,,,35.118752,129.021007,8.1,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00013,AVAILABLE,,,35.073576,129.058584,7.5,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00014,AVAILABLE,,,35.0412,129.08581,16.8,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00015,AVAILABLE,,,35.064369,129.075155,13.6,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00016,AVAILABLE,,,35.076166,129.077299,19.1,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00017,AVAILABLE,,,35.07073,129.074556,17.8,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00018,OFF_DUTY,,,35.03145,129.095722,11.3,65,OFFLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00019,AVAILABLE,,,35.153957,129.004081,8.9,65,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00020,AVAILABLE,,,35.176914,129.051468,10.0,72,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00021,AVAILABLE,,,35.140649,129.011843,6.1,79,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00022,AVAILABLE,,,35.167959,129.048626,14.9,86,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
W00023,AVAILABLE,,,35.147744,129.032785,15.5,93,ONLINE,2026-07-18 08:55:00,2026-07-18 08:55:00,2026-07-18 08:55:00,3.0,WF_V3_ALL_REGIONS_20260718
