service_area_id,worker_id,sido_code,sido_name,sigungu_code,sigungu_name,emd_code,service_area_level,assignment_priority,is_primary_area,max_travel_km,support_type,is_active,dataset_version,import_batch_id
SA000001,W00001,11,서울특별시,11220,서초구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000002,W00002,11,서울특별시,11220,서초구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000003,W00003,11,서울특별시,11220,서초구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000004,W00004,11,서울특별시,11220,서초구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000005,W00005,11,서울특별시,11220,서초구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000006,W00006,11,서울특별시,11220,서초구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000007,W00007,21,부산광역시,21030,동구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000008,W00007,21,부산광역시,21120,강서구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000009,W00008,21,부산광역시,21030,동구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000010,W00008,21,부산광역시,21140,수영구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000011,W00009,21,부산광역시,21030,동구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000012,W00009,21,부산광역시,21510,기장군,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000013,W00010,21,부산광역시,21030,동구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000014,W00010,21,부산광역시,21050,부산진구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000015,W00011,21,부산광역시,21030,동구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000016,W00011,21,부산광역시,21070,남구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000017,W00012,21,부산광역시,21030,동구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000018,W00012,21,부산광역시,21090,해운대구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000019,W00013,21,부산광역시,21040,영도구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000020,W00013,21,부산광역시,21050,부산진구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000021,W00014,21,부산광역시,21040,영도구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000022,W00014,21,부산광역시,21070,남구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000023,W00015,21,부산광역시,21040,영도구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000024,W00015,21,부산광역시,21090,해운대구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000025,W00016,21,부산광역시,21040,영도구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000026,W00016,21,부산광역시,21110,금정구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000027,W00017,21,부산광역시,21040,영도구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000028,W00017,21,부산광역시,21130,연제구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000029,W00018,21,부산광역시,21040,영도구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000030,W00018,21,부산광역시,21150,사상구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000031,W00019,21,부산광역시,21050,부산진구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000032,W00019,21,부산광역시,21110,금정구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000033,W00020,21,부산광역시,21050,부산진구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000034,W00020,21,부산광역시,21130,연제구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000035,W00021,21,부산광역시,21050,부산진구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000036,W00021,21,부산광역시,21150,사상구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000037,W00022,21,부산광역시,21050,부산진구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000038,W00022,21,부산광역시,21030,동구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000039,W00023,21,부산광역시,21050,부산진구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000040,W00023,21,부산광역시,21060,동래구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000041,W00024,21,부산광역시,21050,부산진구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000042,W00024,21,부산광역시,21080,북구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000043,W00025,21,부산광역시,21060,동래구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000044,W00025,21,부산광역시,21030,동구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000045,W00026,21,부산광역시,21060,동래구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000046,W00026,21,부산광역시,21050,부산진구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000047,W00027,21,부산광역시,21060,동래구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000048,W00027,21,부산광역시,21080,북구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000049,W00028,21,부산광역시,21060,동래구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000050,W00028,21,부산광역시,21100,사하구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000051,W00029,21,부산광역시,21060,동래구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000052,W00029,21,부산광역시,21120,강서구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000053,W00030,21,부산광역시,21060,동래구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000054,W00030,21,부산광역시,21140,수영구,,SIGUNGU,2,0,90,NEIGHBOR_SUPPORT,1,3.0,WF_V3_ALL_REGIONS_20260718
SA000055,W00031,21,부산광역시,21070,남구,,SIGUNGU,1,1,35,PRIMARY,1,3.0,WF_V3_ALL_REGIONS_20260718
